Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1961","1961","t","700","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1962","1962","t","500","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1963","1963","t","400","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1964","1964","t","400","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1965","1965","t","400","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1966","1966","t","500","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1967","1967","t","400","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1968","1968","t","500","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1969","1969","t","600","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1970","1970","t","700","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1971","1971","t","700","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1972","1972","t","700","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1973","1973","t","700","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1974","1974","t","800","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1975","1975","t","800","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1976","1976","t","850","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1977","1977","t","850","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1978","1978","t","900","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1979","1979","t","900","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1980","1980","t","800","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1981","1981","t","500","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1982","1982","t","500","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1983","1983","t","500","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1984","1984","t","400","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1985","1985","t","300","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1986","1986","t","700","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1987","1987","t","500","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1988","1988","t","500","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1989","1989","t","700","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1990","1990","t","500","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1991","1991","t","467.96","I","Imputed value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1992","1992","t","496.33","I","Imputed value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1993","1993","t","400","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1994","1994","t","1558.92","I","Imputed value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1995","1995","t","3000","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1996","1996","t","5100","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1997","1997","t","4300","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1998","1998","t","4500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","1999","1999","t","4500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01344.02","Cherries","2000","2000","t","5000","A","Official figure",""
