Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","004","Afghanistan","5910","Export Quantity","01344.02","Cherries","2022","2022","t","544.12","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","37.97","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01344.02","Cherries","2022","2022","t","83.01","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5910","Export Quantity","01344.02","Cherries","2022","2022","t","14.28","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","0.01","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.91","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","024","Angola","5610","Import Quantity","01344.02","Cherries","2022","2022","t","4.97","A","Official figure",""
"TCL","Crops and livestock products","024","Angola","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","0.35","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5610","Import Quantity","01344.02","Cherries","2022","2022","t","237.84","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","01344.02","Cherries","2022","2022","t","5464.89","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","20","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","5.25","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","01344.02","Cherries","2022","2022","t","100.78","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","01344.02","Cherries","2022","2022","t","456.14","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","7.68","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","50.81","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5610","Import Quantity","01344.02","Cherries","2022","2022","t","590.69","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","01344.02","Cherries","2022","2022","t","3262.39","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","91.14","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01344.02","Cherries","2022","2022","t","16451.22","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","01344.02","Cherries","2022","2022","t","12682.58","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","2094.44","A","Official figure",""
